C2, 1046.4000  0.0120 0.0111 0.0103 129.80 393.33 654.85;
D2b, 1108.0000  0.0081 0.0024 0.0032 137.79 415.29 692.79;
D2, 1174.4000  0.0104 0.0090 0.0076 147.77 441.24 734.71;
E2b, 1244.0000  0.0026 0.0070 0.0087 155.76 467.19 776.64;
E2, 1318.4000  0.0089 0.0071 0.0052 165.74 495.14 824.55;
F2, 1396.8000  0.0079 0.0064 0.0048 173.72 523.09 872.46;
G2b, 1479.2000  0.0068 0.0028 0.0011 185.70 555.04 924.37;
G2, 1567.2000  0.0017 0.0058 0.0062 195.68 586.98 980.27;
A2b, 1660.8000  0.0005 0.0009 0.0012 207.66 622.91 1038.16;
A2, 1760.0000  0.0026 0.0060 0.0004 219.64 660.84 1100.05;
B2b, 1784.0000  0.0045 0.0012 0.0069 223.63 668.83 1114.03;
B2, 1975.2000  0.0044 0.0000 0.0044 247.59 740.70 1233.81;
C3, 2088.0000  0.0034 0.0023 0.0041 261.56 782.62 1305.68;
